"Title","Description","Priority","Week Day","Task ID","Assigned To","Instances","UniqueID","Microgreen Weight","QuickInfo","Complete Only","ProcessLink","Has A SP Checklist Been Created"
"Remove BO and Move Arugula Microgreens to Watering Rack","Move to watering rack","High Priority","[""Wednesday""]","Blackout Task","Microgreen General Maintainer","5","RWA1",,"Remove BO dome","True","https://netorgft4782353.sharepoint.com/:u:/r/sites/GrowSpaceEducation/SitePages/Remove-Blackout-and-Move-to-Watering-Rack.aspx?csf=1&web=1&share=EdD-j1_xQw5KhjDthuIYis4BXPfXxZLKxi7Jm9U22__17g&e=apBosh","False"
"Seed Broccoli Microgreens","Seed Broccoli Microgreens","High Priority","[""Sunday""]","Seeding","Microgreen Seeder","4","PBM1","10 lbs","0.8 oz of seed","False","https://netorgft4782353.sharepoint.com/:u:/r/sites/GrowSpaceEducation/SitePages/Seed-Microgreens.aspx?csf=1&web=1&share=EbJ4H75ar9hIvTCHhtg2iPAB_rUqGqASip5mHrcDjcVV6w&e=dexreR","False"
"Soak Pea Microgreens","Soak the Seeds for 12 hours; Drain and rinse occasionaly until tomorrow afternoon.","High Priority","[""Sunday""]","Seeding","Microgreen Seeder","3","SPM1","N/A","7.7oz of seeds","False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Soaking-the-Pea-Microgreens.aspx","False"
"Remove Weight/BO and Move Radish Microgreens to Watering Rack","Remove Weight/BO and Move Radish Microgreens","High Priority","[""Tuesday""]","Dome Task","Microgreen General Maintainer","2","RWR1","N/A",,"True","https://netorgft4782353.sharepoint.com/:u:/r/sites/GrowSpaceEducation/SitePages/Remove-Blackout-and-Move-to-Watering-Rack.aspx?csf=1&web=1&share=EdD-j1_xQw5KhjDthuIYis4BXPfXxZLKxi7Jm9U22__17g&e=apBosh","False"
"Adjust Nutrients in Microgreen Reservoirs","Check the nutrient and pH level and adjust ","Medium Priority","[""Wednesday""]","General Maintenance","Microgreen General Maintainer","1","ANM1",,,"True","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Adjusting-the-Nutrients-in-the-Microgreen-Reservoirs.aspx","False"
"Shake Grow Nutrients on NFT and Towers","Shake the bottles for the nutrients to prevent settling. ","Medium Priority","[""DISABLED""]","General Maintenance","General Laborer","1","SNOT1",,,"True",,"False"
"NFT Water Change","Change 5 gallons of water on the NFT.","Medium Priority","[""DISABLED""]","General Maintenance","Farm Manager","1","NFTWC1",,,"False",,"False"
"Remove 5 Dirty Towers and Clean Basins","Remove the dirty towers, clean basins, and replace with pre-cleaned towers. ","Medium Priority","[""DISABLED""]","General Maintenance","Equipment Cleaner","1","CTDT1",,,"False",,"False"
"Powerwash Towers","Powerwash the towers","Low Priority","[""DISABLED""]","General Maintenance","Equipment Cleaner","5","CT5T1",,,"False",,"False"
"Clean Bathroom","Clean the Bathroom","Low Priority","[""Monday""]","General Maintenance","Sanitation Manager","1","CTBR1",,,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Cleaning-the-Bathroom.aspx","True"
"Deep Floor Scrub","This task is designed to deep clean stained and heavily soiled areas of the facility floor using a baking soda solution and manual scrubbing. It is part of maintaining a professional, clean, and safe work environment.","Low Priority","[""Bi-Weekly A""]","General Maintenance","Sanitation Manager","1","FSR1",,,"False","https://netorgft4782353.sharepoint.com/sites/GrowSpaceEducation/SitePages/Floor-Stain-Removal.aspx","True"
