title,description,category,priority,frequency,daysOfWeek,weekPeriod,dayOfMonth,assignedRole,isActive,estimatedTime,requiresPhotoProof
Remove BO and Move Arugula Microgreens to Watering Rack,Move to watering rack,Blackout Tasks,high,weekly,wednesday,,,General Staff,true,,false
Seed Broccoli Microgreens,Seed Broccoli Microgreens,Seeding - Microgreens,high,weekly,sunday,,,Microgreen Seeder,true,,false
Soak Pea Microgreens,Soak the Seeds for 12 hours; Drain and rinse occasionaly until tomorrow afternoon.,Other,high,weekly,sunday,,,Microgreen Seeder,true,,false
Remove Weight/BO and Move Radish Microgreens to Watering Rack,Remove Weight/BO and Move Radish Microgreens,Moving,high,weekly,tuesday,,,General Staff,true,,false
Adjust Nutrients in Microgreen Reservoirs,Check the nutrient and pH level and adjust ,Other,medium,weekly,wednesday,,,General Staff,true,,false
Clean Bathroom,Clean the Bathroom,Cleaning,medium,weekly,monday,,,Manager,true,,false
Deep Floor Scrub,"This task is designed to deep clean stained and heavily soiled areas of the facility floor using a baking soda solution and manual scrubbing. It is part of maintaining a professional, clean, and safe work environment.",Other,medium,biweekly,[],first,,Manager,true,,false
Opening ,Open the farm.,Other,high,daily,[],,,General Staff,true,,false
Clean Tower Clips,Clean tower clips. ,Cleaning,medium,weekly,tuesday,,,General Staff,true,,false
Check the Inventory of Leafy Green Stock,"Check the Rockwool, Oasis Cubes, Seeds, and Leafy Green Bags.",Inventory,medium,monthly,[],,1,General Staff,true,,false
Check General Inventory Stock,"Check the stock of Order Bags, Order Boxes, Labels, and More",Inventory,medium,monthly,[],,1,General Staff,true,,false
Check Nutrient Inventory,Ensure we have enough nutrients to last roughlt three months.,Inventory,medium,monthly,[],,1,General Staff,true,,false
Uncover the Leafy Green and Herb trays.,"There should be many trays to uncover including Romaine, Swiss Chard, Butter Crunch, Red Oak, Kale, Summer Crisp, Basil, and Collard Greens",Other,medium,weekly,friday,,,General Staff,true,,false
Seed Pea Microgreens,Use soaked seeds. Place trays directly into Watering Rack. Use 1 shim under tray in watering rack.,Seeding - Microgreens,high,weekly,monday,,,Microgreen Seeder,true,,false
Seed Radish Microgreens,Seed the Radish Microgreens,Seeding - Microgreens,high,weekly,saturday,,,Microgreen Seeder,true,,false
Seed Mustard Microgreens,Do not stack while germinating. ,Seeding - Microgreens,high,weekly,sunday,,,Microgreen Seeder,true,,false
Remove Weight/BO and Move Broccoli Microgreens to Watering Rack,"Put in D watering rack on shelf with fan; After move, run water in rack until tray is wet.",Moving,high,weekly,wednesday,,,General Staff,true,,false
Remove Weight and BO for Pea Microgreens,Remove Weight and dome for Pea Microgreens,Blackout Tasks,high,weekly,friday,,,General Staff,true,,false
Remove BO and Move Mustard Microgreens to Watering Rack,Remove Dome and Move Mustard Microgreens to Watering Rack,Blackout Tasks,high,weekly,wednesday,,,General Staff,true,,false
Harvest Pea Microgreens,Apis: 3 oz in 24 oz container; Others: 1 oz in 8 oz container,Harvest - Microgreens,medium,weekly,wednesday,,,Harvester,true,,false
Harvest Broccoli Microgreens,1 oz per 8 oz container,Harvest - Microgreens,medium,weekly,wednesday,,,Harvester,true,,false
Harvest Radish Microgreens,1 oz in 8 oz container,Harvest - Microgreens,medium,weekly,wednesday,,,Harvester,true,,false
Harvest Mustard Microgreens,0.7 oz in 8 oz container,Harvest - Microgreens,medium,weekly,wednesday,,,Harvester,true,,false
Seed Arugula Microgreens,Mucilagenous seeds; do not stack,Seeding - Microgreens,high,weekly,monday,,,Microgreen Seeder,true,,false
Harvest Arugula Micogreens,0.5 oz in 8 oz container,Other,medium,weekly,wednesday,,,Harvester,true,,false
Water Microgreen Germination Trays,,General Farm,high,weekly,"sunday,monday,tuesday,saturday",,,General Staff,true,,false
